"sep=;";;
Body Part;Exam Description;Full Protocol
PEDIATRIC ANKLE;XR Ankle 3+ Views Bil<br>XR Ankle 3+ Views Lt<br>XR Ankle 3+ Views Rt;<a href="https://drive.google.com/file/d/1zkNp4r8izZ3mkMZBTb1py-1WodUgWvP8/view?usp=drive_link" target="_blank">PEDIATRIC ANKLE</a>
PEDIATRIC CALCANEUS;XR Calcaneus 2+ Views Bil<br>XR Calcaneus 2+ Views Lt<br>XR Calcaneus 2+ Views Rt;<a href="https://drive.google.com/file/d/1x3tAgkBE-F8skCLEDBBk497zFUwjY05y/view?usp=drive_link" target="_blank">PEDIATRIC CALCANEUS</a>
PEDIATRIC CERVICAL SPINE;XR C Spine 2-3 Views;<a href="https://drive.google.com/file/d/1efK6gg_AYnSlcL1NoomUDKibZDZsI4oT/view?usp=drive_link" target="_blank">PEDIATRIC CERVICAL SPINE</a>
PEDIATRIC CHEST;XR Chest 1 View AP or PA<br>XR Chest 2 Views;<a href="https://drive.google.com/file/d/1aGjbUQ7N26ZwEhXX9RW77mnvTUjwSMm0/view?usp=drive_link" target="_blank">PEDIATRIC CHEST</a>
PEDIATRIC ELBOW;XR Elbow 2 Views Bil<br>XR Elbow 2 Views Lt<br>XR Elbow 2 Views Rt<br>XR Elbow 3+ Views Bil<br>XR Elbow 3+ Views Lt<br>XR Elbow 3+ Views Rt;<a href="https://drive.google.com/file/d/1l-8cjb4FiUay_FKNUEB3oJgr9MVDByE2/view?usp=drive_link" target="_blank">PEDIATRIC ELBOW</a>
PEDIATRIC FACIAL BONES;XR Facial Bones 3+ Views;<a href="https://drive.google.com/file/d/1luiRtp4-ujFjpbkVethymI4FlCAmekFd/view?usp=drive_link" target="_blank">PEDIATRIC FACIAL BONES</a>
PEDIATRIC FEMUR;XR Femur 2+ Views Bil<br>XR Femur 2+ Views Lt<br>XR Femur 2+ Views Rt;<a href="https://drive.google.com/file/d/1FOsO58kgCnLBWxqd7huo_rqyqP9U_mMo/view?usp=drive_link" target="_blank">PEDIATRIC FEMUR</a>
PEDIATRIC FINGER;XR Finger 2+ Views Lt<br>XR Finger 2+ Views Rt;<a href="https://drive.google.com/file/d/1OFQHaN4Lu1mzafUl0gRi1boDUSOyFIvY/view?usp=drive_link" target="_blank">PEDIATRIC FINGER</a>
PEDIATRIC FOREARM;XR Forearm 2 Views Bil<br>XR Forearm 2 Views Lt<br>XR Forearm 2 Views Rt;<a href="https://drive.google.com/file/d/1OsY71QIqXaRV0v7hWyuM9VVAsrvmtKS_/view?usp=drive_link" target="_blank">PEDIATRIC FOREARM</a>
PEDIATRIC HAND;XR Hand 3+ Views Bil<br>XR Hand 3+ Views Lt<br>XR Hand 3+ Views Rt;<a href="https://drive.google.com/file/d/1NZ3rHA6ncl1izNsYikjIdOMhAYgfqflr/view?usp=drive_link" target="_blank">PEDIATRIC HAND</a>
PEDIATRIC HIP;XR Hip w Pelvis 2-3 Views Lt<br>XR Hip w Pelvis 2-3 Views Rt<br>XR Hip w Pelvis 3-4 Views Bil;<a href="https://drive.google.com/file/d/1Rth0hSEQsby9fWgImJG2twsSSLenqKGS/view?usp=drive_link" target="_blank">PEDIATRIC HIP</a>
PEDIATRIC KNEE;XR Knee 1-2 Views Bil<br>XR Knee 1-2 Views Lt<br>XR Knee 1-2 Views Rt<br>XR Knee 3 Views Bil<br>XR Knee 3 Views Lt<br>XR Knee 3 Views Rt<br>XR Knee 4+ Views Bil<br>XR Knee 4+ Views Lt<br>XR Knee 4+ Views Rt<br>XR Knees Standing AP Bil;<a href="https://drive.google.com/file/d/1VFgb9ze_3tksGN-qZ2-h21_6JbeA5mXp/view?usp=drive_link" target="_blank">PEDIATRIC KNEE</a>
PEDIATRIC LUMBAR SPINE;XR L Spine 2-3 Views;<a href="https://drive.google.com/file/d/1LPMwsd2BytxxYWunW_UsjjryYZsmoHPQ/view?usp=drive_link" target="_blank">PEDIATRIC LUMBAR SPINE</a>
